category,product_name,price,wholesale_price,qty
OIL,IKHLAS OIL,460,441.67,85
OIL,HABIB OIL,590,560,23
OIL,KISAN OIL,565,530,18
OIL,SOYA SUPREME OIL,595,560,12
OIL,DALDA OIL,605,586.15,117
OIL,EVA COOKING,595,576,0
GHEE,TULLO GHEE,565,545.73,23
GHEE,IKHLAS GHEE,480,462.5,82
GHEE,KISAN GHEE,565,530,5
GHEE,HABIB GHEE,590,560,30
GHEE,MEZAN GHEE,565,546,27
GHEE,DALDA GHEE,605,588.71,44
GRAINS,MOONG CHILKE WALI,335,300,9.5
GRAINS,CHANA DAAL,225,195,47.65
GRAINS,SABUT MASOOR,230,205,37.25
GRAINS,MASOOR DAAL,230,205,37.32
GRAINS,MOONG,230,205,52
GRAINS,MASH DAAL,400,375,39.5
CHANA,KALA CHANA,225,195,38
ATTA (FLOUR),SUJI,170,150,12.95
ATTA (FLOUR),BESAN,205,175,29
SHARBAT,QUICE 800 ML,445,425,99
SHARBAT,JAM-E-SHIRIN 800 ML,455,433.33,77
SHARBAT,ROOH AFZA 800 ML,450,425,93
COFFEE,NESCAFE BLACK 50G,710,670,10
SHARBAT,JAM-E-SHIRIN 1.50 LTRS,825,783.33,29
SHARBAT,ROOH AFZA 1.50 LTRS,755,733.33,26
SHARBAT,ROOH AFZA 3 LTRS,1370,1350,23
MILK POWDER,EVERYDAY 230G,490,463.89,39
MILK POWDER,EVERYDAY 560G,1140,1100,5
MILK POWDER,EVERYDAY 1 KG,1880,1850,6
SALT,NATIONAL SALT 800G,60,50,252
KETCHUP,SHANGRILA 800G TOMATO,370,352.94,17
KETCHUP,SHANGRILA 400G TOMATO,185,170.31,134
SAUCE,SHANGRILA 800G CHILLI GARLIC,370,35.46,40
SAUCE,SHANGRILA 400G CHILLI GARLIC,210,193.71,171
KETCHUP,NATIONAL 400G TOMATO,250,232,0
KETCHUP,NATIONAL 800G TOMATO,340,316.67,1
MAYONNAISE,YOUNG'S 200 ML MAYO,160,148,23
CUSTARD,RAFHAN CUSTARD 250G,188,175,2
DESERTS,LAZIZA KHEER MIX 155G,160,147.22,41
DESERTS,HAPPY HOME RUS MALAI 75G,185,175,0
SURF,BONUS,245,231.51,13
SURF,BONUS SACHET,10,9.29,172
SURF,EXPRESS,390,352.17,1
SURF,EXPRESS 500G,197,187.22,5
SURF,BRITE,595,554.67,11
SURF,BRITE 500G,295,276.92,24
SURF,EXCEL,540,510,2
SURF,EXCEL 500G,280,265,14
SURF,ARIEL 1 KG,540,508.33,0
SURF,ARIEL 500G,275,254.17,17
SURF,ARIEL SACHET,10,9.13,0
SOAP,MAX (3 BARS) SINGLE,88,83.79,15
SOAP,MAX BAR (3 BARS) DOUBLE,178,167.58,36
MISCELLANEOUS,LEMON MAX LIQUID 275 ML,163,152.88,36
SOAP,LEMON MAX 750 ML,390,368.7,0
MISCELLANEOUS,MAX KATORI 400G,248,237,4
MISCELLANEOUS,MAX KATORI 200G,148,140.25,9
TOOTHPASTE,SENSODYNE RA 70G,390,360,0
TISSUE,TISSUE TULIP,185,165,0
TISSUE,TISSUE ROSE PETAL POP-UP,240,190,1
MISCELLANEOUS,FOOTBALL MATCHES,45,37,39
TEA,TAPAL DD TEABAG (100 PACKS),890,860,4
TEA,TAPAL 900G FM,1700,1670,15
SHARBAT,TANG SACHET,90,75,0
TEA,TAPAL 900G DD,1700,1670,12
TEA,TAPAL FM 430G,900,870,10
SHAMPOO,LIFEBUOY 170 ML,370,335,0
TISSUE,TISSUE ROSE PETAL MAXOB TOILET ROLL,130,100,0
SHARBAT,JAM-E-SHIRIN 3 LTRS,1395,1372,15
TEA,TAPAL DD 170G,385,368,0
TEA,TAPAL 85G DD,180,165,48
TEA,KANWAL 170G,375,358,0
SHARBAT,QUICE 3 LTRS,1340,1300,1
SHARBAT,PAKOLA SYRUP 800 ML,340,316.67,28
TEA,KANWAL 900G,1710,1670,0
TEA,KANWAL 430G,850,820,1
TOOTHPASTE,COLGATE 75G TP,180,166.83,2
TOOTHPASTE,DOCTOR 65G TP,190,175,1
SHAMPOO,HEAD & SHOULDERS 185 ML,440,410,0
SOAP,LIFEBUOY 98G,98,90,0
SOAP,LUX 128G,148,137.74,0
SOAP,LUX 98G,128,120,1
SOAP,PALMOLIVE 130G,147,141.58,0
MISCELLANEOUS,AGARBATI METROMILAN +7,105,95.83,12
SURF,EXCEL SACHET,10,9.1,0
RICE,SURAJ RICE,305,275,0
GRAINS,BAJRA,130,100,5.6
SAUCE,NATIONAL 800G CHILLI GARLIC,350,315,25
SAUCE,NATIONAL 400G CHILLI GARLIC,250,232,21
MILK,TARANG MILK 220 ML,65,55.56,0
MASALA,SHAN ACCHAR GOSHT SACHET,72,66.67,9
SOAP,DOVE 100G,300,270,0
ATTA (FLOUR),RESHAM FINE ATTA,130,122,6.5
SHARBAT,SUNSIP LIMO PANI 375G,320,300,0
SOAP,TIBET 70G,59,55,0
SOAP,TIBET 130G,115,100,0
SAUCE,KEY CHILLI SAUCE TRIO PACK 120 ML,210,190,3
MASALA,SHAN EASY COOK HALEEM 300G,315,288,40
MILK,COMELLE 397G SWEETENED MILK,400,375,45
TEA,TAPAL TEABAGS (25 PACKS),140,132.5,0
MAYONNAISE,YOUNG'S CHICKEN SPREAD 200 ML,285,270,12
MAYONNAISE,CHICKEN SPREAD YOUNG'S 500 ML,650,620,13
SHAMPOO,LIFEBUOY HERBAL 370 ML,620,559.38,6
TOOTHPASTE,DOCTOR 180GMS WITH TB TP,380,360,4
LOBHIYA,LAL LOBYA,520,480,0
MASALA,SHAN CHAT MASALA SACHET,40,26.67,0
SAUCE,KEY CHILLI SAUCE TRIO PACK 300 ML,340,330,0
SHAMPOO,LIFEBUOY ONION 175 ML,370,333.82,8
TOOTHPASTE,COLGATE 40G TP,68,63.66,4
SHAMPOO,SUNSILK 80 ML,195,175,8
NOODLES,SPAGHETTI SADA 500G,135,120,0
TEA,VITAL TEA 170G,365,342.7,30
SURF,SUFI SURF 1 KG,460,415.91,0
SURF,SUFI 10G SACHET,10,9.17,0
SURF,SUFI 20G SACHET,15,8.52,0
MILK POWDER,MILLAC TEA WHITENER 850G,1420,1375,12
MILK POWDER,MILLAC MILK POWDER 900G,1800,1750,0
TOOTHPASTE,MEDICAM HERBAL 75G TP,145,130,0
OIL,MEZAN OIL,565,546,15
TOOTHPASTE,MEDICAM 65G TP,210,195,9
SOAP,SUFI UJALA SOAP (4 IN 1) 800G,300,267.2,0
SURF,SUFI 500G,230,195.83,17
SAUCE,SHANGRILA SIRKA 700 ML,210,192.75,0
SAUCE,SHANGRILA CHILLI SAUCE TRIO PACK 300 ML,365,352.5,0
MILK,COMELLE 72G SWEETENED MILK,105,83.33,0
TOOTHPASTE,DOCTOR 90G,245,215,0
TOOTHPASTE,DOCTOR 35G TP,110,95,13
PICKLE,NATIONAL 370G PICKLE,300,255.56,1
PICKLE,NATIONAL 900G PICKLE,600,520,6
TOOTHPASTE,FORHAN'S 65G TP,180,165,1
SHAMPOO,HELLO 190 ML,310,275,3
NOODLES,MACRONI SADA 450GMS,120,108.33,0
TEA,TAPAL GREEN TEA JASMINE,245,230,0
LOBHIYA,SAFEED LOBYA,300,265,0
GARAM MASALA,LAL MIRCH POWDER 100G,90,77,0
GARAM MASALA,HALDI POWDER 100G,90,69,0
GARAM MASALA,DHANYA SABUT 100G,70,55,0
GARAM MASALA,MIRCH CUTTER 100G,100,85,2
GARAM MASALA,SAFEED ZEERA 50G,75,60,0
GARAM MASALA,ZEERA POWDER 50G,70,60,0
GARAM MASALA,GARAM MASALA POWDER 50G,125,105,0
GARAM MASALA,GARAM MASALA SABUT 100G,225,205,5
GARAM MASALA,KALI MIRCH SABUT 50G,130,115,0
GARAM MASALA,ELAICHI 20G,220,205,1
GARAM MASALA,SAGU DANA 100G,50,35,13
MISCELLANEOUS,BADAM 50GMS SA,155,142.5,14
CHANA,SAFEED CHANA,275,245,73.75
SHAMPOO,SET & TOUCH 190 ML,370,320,0
TEA,TAPAL GREEN TEA LEMON,245,230,12
TOOTHPASTE,MEDICAM 140G TP,290,250,0
TOOTHPASTE,MEDICAM 125G TP,230,205,1
SOAP,CAPRI 120G PINK,135,125,0
ATTA (FLOUR),HAG 5 KGS ATTA,740,720,9
TEA,TASTE MIXTURE 250G,280,250,0
SHAMPOO,SUNSILK 360 ML,730,690,6
GARAM MASALA,TEZ PHAT 20G,42,35,0
GARAM MASALA,RAI SABUT 50G,25,19,0
GARAM MASALA,KALONJI 50G,55,48,0
TOOTHPASTE,PROTECT GUM 40GMS TP,140,125,0
TOOTHPASTE,COLGATE 100G TP,225,198.09,6
SOAP,LIFEBUOY 128G,125,115,1
GARAM MASALA,GOL MIRCH 100G,105,91,4
MILK POWDER,EVERYDAY 900G,1700,1616.67,3
TEA,TAPAL GREEN TEA PEACH,245,230,11
RICE,NAGEENA DARBARI RICE,340,320,113.5
DESERTS,LAZIZA RUS MALAI 75G,240,225,11
DESERTS,LAZIZA SHEER KHOORMA 160G,240,225,13
GARAM MASALA,LONG 50G,175,160,0
GARAM MASALA,DHANYA POWDER 100G,70,53,0
GARAM MASALA,IMLI,120,95,0
DESERTS,LAZEEZA DOODH DULHARI 195G,225,208.33,0
KETCHUP,SHANGRILA TOMATO 1.50 KGS,515,483.15,0
SURF,BONUS ACTIVE 750G,220,211.33,16
RICE,SHANDAR PONIA,275,255,68.8
NOODLES,SHAN SOUP MAGGIE FAMILY PACK (GREEN),170,155.56,0
PESTICIDES,KINGTOX 325 ML,390,350,0
SHAMPOO,MECLAY 185 ML,345,325,69
TEA,TAPAL GREEN TEA MINT,240,227,0
TEA,TAPAL GREEN TEA STRAWBERRY,240,226.8,0
GARAM MASALA,KALI MIRCH POWDER 50G,195,177.5,0
SHAMPOO,LIFEBUOY 185 ML,360,330,0
FOAM,FOAM MAX SCRUB 2 IN 1,128,107.75,35
TOOTHPASTE,COLGATE 150G TP,320,298.94,0
COLD DRINKS,FIZZ UP NEXT 1.50 LTRS,135,121.67,10
MISCELLANEOUS,ZARDA RUNG 45G,45,34.09,0
SOAP,VITAL SOAP 128G,145,135.1,128
SOAP,NEEM COOL 100G SOAP,90,70,22
SOAP,DETTOL  85G SOAP,130,110,11
SOAP,SUFI CLASSIC 130G,115,97.2,0
HAIR OIL,COCONUT 35G,65,40,0
TOOTHPASTE,FORHAN'S 35G TP,100,85,6
MISCELLANEOUS,SUGAR,150,141,197.68
COLD DRINKS,COLA NEXT,120,103.33,0
MASALA,VITAL GINGER POWDER PACKET,145,132.15,35
COLD DRINKS,FIZZ UP NEXT,120,103.33,0
DESERTS,POLAC PINEAPPLE TIN 565G,355,337.5,25
TEA,TAPAL GREEN TEA GINGER HONEY,240,226.8,0
TOOTHPASTE,COLGATE 200G TP,390,347.82,0
TEA,ILAICHI TAPAL GREEN TEA,240,227,0
HAND WASH,LIFEBUOY HAND WASH 850 ML,780,740,0
TOOTHPASTE,DOCTOR 180G TP,400,366.67,0
HAND WASH,DETTOL HAND WASH 200ML POUCH,280,266.67,0
SOAP,CAPRI 150G (3 IN 1),380,341.67,3
MASALA,SHAN KARAHI SACHET,72,66.67,28
MASALA,SHAN NIHARI SACHET,70,65.83,26
MASALA,SHAN TIKKA SEIKH KABAB SACHET,72,66.67,32
MASALA,SHAN PULAO BIRYANI SACHET,70,51.67,0
MASALA,SHAN BOMBAY BIRYANI SACHET,70,65.89,11
MASALA,SHAN QORMA SACHET,72,66.67,24
MASALA,SHAN FISH SACHET,70,66.67,5
MASALA,SHAN TANDORI SACHET,72,66.67,10
MASALA,SHAN CHICKEN TIKKA SACHET,75,65.83,7
MASALA,SHAN PAYA SACHET,70,65.88,16
MASALA,SHAN BOMBAY BIRYANI PACKET,130,120.83,0
MASALA,SHAN PAYA PACKET,135,119.44,22
MASALA,SHAN ACCHAR GOSHT PACKET,135,120.83,11
MASALA,SHAN PULAO PACKET,135,119.44,16
MASALA,SHAN TIKKA BOTI PACKET,135,120.17,9
MASALA,SHAN TANDORI PACKET,135,119.42,21
MASALA,SHAN CHICKEN TIKKA PACKET,135,119.46,25
MASALA,SHAN BIHARI KABAB PACKET,135,119.46,6
MASALA,SHAN HALEEM PACKET,135,120.83,59
MASALA,SHAN CHICKEN WHITE KARAHI PACKET,135,115,1
MASALA,SHAN KOFTA PACKET,135,120.83,1
MASALA,SHAN MURGH CHOLAY PACKET,135,120.83,2
MASALA,SHAN QEEMA PACKET,135,120.83,12
MASALA,SHAN SHAMI KABAB PACKET,135,112.5,0
WASHROOM CLEANER,FRESH TOUCH WASHROOM CLEANER,200,160,0
HAND WASH,LUX HAND WASH 450 ML,520,480,0
HAND WASH,SKY HAND WASH 500 ML,200,180,0
WASHROOM CLEANER,FRESH TOUCH REFILL SMALL,200,160,0
HAIR OIL,PARAGON HAIR OIL 100 ML,225,200,16
FACE WASH,SAEED GHANI CHARCOAL FACE WASH 100 ML,410,380.97,0
SHAMPOO,SAEED GHANI 200 ML,400,364.61,49
LOTION,SAEED GHANI LOTION LARGE,440,395,4
LOTION,SAEED GHANI LOTION SMALL,280,238.5,0
SOAP,TIBET 95G,87,80,56
TOOTHPASTE,ABC TP SMALL,160,145,3
TEA,TAPAL FM 170G,385,368,0
MASALA,SHAN FISH PACKET,135,120.83,1
SAWAYYAN,BAKE PARLOUR SAWAYYAN 100G,45,40,16
TEA,VITAL TEABAGS (25 PACKS),133,118.75,11
MASALA,SHAN CHICKEN WHITE KARAHI SACHET,70,58.17,0
PAMPER,ROYAL SMALL,750,725,2
PAMPER,ROYAL MEDIUM,900,875,0
PAMPER,ROYAL LARGE,1000,975,0
SKIN CARE,CARE HAIR REMOVAL CREAM SACHET,50,40.83,0
SHAMPOO,LIFEBUOY SACHET,10,9.27,0
SHAMPOO,SUNSILK 185 ML,440,400,9
TEA,VITAL 85G,190,170.5,22
MASALA,SHAN CHAPLI KABAB PACKET,135,120.83,0
SHAMPOO,SAEED GHANI PURE AMLA 200 ML,320,287.47,0
COFFEE,NESCAFE RED 50G,760,710,0
GARAM MASALA,AJINO MOTO 50G,50,39,0
GARAM MASALA,DAR CHINI @ 50,50,23.75,0
MASALA,SHAN SABZI MASALA PACKET,135,119.42,10
MASALA,SHAN DAAL MASALA PACKET,135,120.83,0
TOOTH BRUSH,COLGATE TB,65,56.25,11
MASALA,SHAN KUNNA GOSHT PACKET,135,112.5,33
DESERTS,HAPPY HOME JELLY 55G,50,50,81
DESERTS,HAPPY HOME PUDDING 50G,50,50,42
SAUCE,SHANGRILLA CHILLI GARLIC 3.25 KGS,1080,1040.69,15
KETCHUP,SHANGRILA TOMATO 3.25 KGS,1080,1040.72,14
DESERTS,FISH GRASS,60,40,0
MASALA,SHAN TIKKA SEIKH KABAB PACKET,135,119.44,9
MASALA,SHAN SINDHI BIRYANI PACKET,135,120.17,0
PAMPER,ROYAL XL,1100,1075,0
SPRAY,SAEED GHANI ROSE FACE FRESHNER SPRAY,200,150.19,0
FACE WASH,SAEED GHANI CHARCOAL FACE WASH 50 ML,280,217.33,17
FACE WASH,SAEED GHANI GOAT MILK FACE WASH 60 ML,280,234.08,0
PAMPER,ROYAL NEW BORN,750,700,11
WASHROOM CLEANER,OPTIC SHINE WASHROOM CLEANER 500ML,280,250,0
PAMPER,ROYAL XXL,1250,1185.5,2
MASALA,SA SHAHI BIRYANI MASALA 100G,110,93,14
MASALA,DAHI BARA MASALA 100G,85,73,23
RICE,MALKA SELLA RICE,270,240,14
CUSTARD,HAPPY HOME 250G CUSTARD,145,130,34
SAUCE,SHANGRILA CHILLI SAUCE TRIO PACK 700 ML,705,686.75,22
MASALA,PAKORA MASALA 100G SA,75,65,9
MASALA,SHAN SHAMI KABAB SACHET,70,57.5,1
MASALA,SHAN PULAO SACHET,72,66.67,35
RICE,QUEEN RICE,250,228.4,26.2
SHARBAT,TANG ORANGE 375G,320,298,23
DESERTS,LAZEEZA FALUDA 195G,220,200,0
MASALA,SHAN BIRYANI PACKET,135,120.83,0
MASALA,SHAN KARAHI PACKET,135,120.83,41
MASALA,SHAN QORMA PACKET,135,120.83,39
TOOTHPASTE,MEDICAM 180G TP,340,320,2
TOOTHPASTE,MEDICAM 90G TP,255,230,0
HAIR OIL,HELLO 200 ML,300,280,0
COLD DRINKS,COLA NEXT 2.25 LTRS,200,175,0
SURF,HERO SURF,250,225,0
JALI,SCOTCH BRITE JALI,60,45,7
SAUCE,SHANGRILA CHILLI SAUCE TRIO PACK 275 ML,375,353,15
MASALA,SHAN SEIKH KABAB PACKET,135,112.5,5
MASALA,SHAN KALEJI PACKET,135,119.44,2
KETCHUP,SHANGRILA 210G TOMATO,110,115,2
COLD DRINKS,RANGO NEXT 1.50 LTRS,135,121.67,1
COLD DRINKS,FIZZ UP NEXT 2.25 LTRS,205,180,0
JALI,MAX SCRUB JALI SINGLE,75,55.35,16
MISCELLANEOUS,ALOO BUKHARA,125,115,9
SOAP,LUX HAND WASH POUCH 600 ML,490,450,0
RICE,MANPASAND TOTA,200,176,0
SKIN CARE,CARE HAIR REMOVAL CREAM 20G,20,15,0
